n_qubits,state_model,first_crossing_density,delta_from_uniform,ratio_to_uniform,perturbation_amplitude,perturbation_frequency,phase_relaxation_steps_mean,torsion_hysteresis_mean,volatility_index_mean,volatility_index_max,catastrophic_unraveling_amplitude,spread_min,spread_max,spread,crossing_seed_count,density_threshold,wall_runtime_ms
6,harmonic-stride,0.12,0.0,1.0,0.6,51.0,51.666667,0.228176,0.468429,0.563076,0.6,0.12,0.12,0.0,2,0.12,49.085749
6,harmonic-stride,0.12,0.0,1.0,0.2,52.0,14.333333,0.061933,0.12787,0.187187,0.2,0.12,0.12,0.0,2,0.12,49.132086
6,harmonic-stride,0.12,0.0,1.0,0.6,52.0,42.166667,0.185801,0.381658,0.559217,0.6,0.12,0.12,0.0,2,0.12,58.000001
6,harmonic-stride,0.12,0.0,1.0,0.2,53.0,16.5,0.071739,0.147875,0.181786,0.2,0.12,0.12,0.0,2,0.12,50.569226
6,harmonic-stride,0.12,0.0,1.0,0.6,53.0,48.666667,0.215218,0.441672,0.545358,0.6,0.12,0.12,0.0,2,0.12,60.524771
6,harmonic-stride,0.12,0.0,1.0,0.2,54.0,18.0,0.077381,0.159978,0.185101,0.2,0.12,0.12,0.0,2,0.12,50.316642
6,harmonic-stride,0.12,0.0,1.0,0.6,54.0,52.666667,0.232142,0.476809,0.550617,0.6,0.12,0.12,0.0,2,0.12,42.639816
4,low-grade-bias,0.12,0.0,1.0,0.2,46.0,20.0,0.098817,0.170226,0.213879,,0.12,0.12,0.0,2,0.12,46.773223
4,low-grade-bias,0.12,0.0,1.0,0.6,46.0,58.333333,0.296452,0.502476,0.615855,0.6,0.12,0.12,0.0,2,0.12,41.331958
4,low-grade-bias,0.12,0.0,1.0,0.2,47.0,18.166667,0.090375,0.155391,0.197044,,0.12,0.12,0.0,2,0.12,36.045092
4,low-grade-bias,0.12,0.0,1.0,0.6,47.0,53.333333,0.271124,0.461876,0.579414,0.6,0.12,0.12,0.0,2,0.12,36.705736
4,low-grade-bias,0.12,0.0,1.0,0.2,48.0,18.166667,0.090473,0.155514,0.207355,,0.12,0.12,0.0,2,0.12,41.118436
4,low-grade-bias,0.12,0.0,1.0,0.6,48.0,53.333333,0.27142,0.460292,0.603314,0.6,0.12,0.12,0.0,2,0.12,36.892205
4,low-grade-bias,0.12,0.0,1.0,0.2,49.0,18.166667,0.090678,0.15577,0.208057,,0.12,0.12,0.0,2,0.12,35.325605
4,low-grade-bias,0.12,0.0,1.0,0.6,49.0,53.5,0.272035,0.459887,0.605421,0.6,0.12,0.12,0.0,2,0.12,36.274899
4,low-grade-bias,0.12,0.0,1.0,0.2,50.0,22.666667,0.114224,0.195708,0.213324,,0.12,0.12,0.0,2,0.12,38.676743
4,low-grade-bias,0.12,0.0,1.0,0.6,50.0,67.166667,0.342671,0.576576,0.614192,0.6,0.12,0.12,0.0,2,0.12,38.578039
4,low-grade-bias,0.12,0.0,1.0,0.2,51.0,19.5,0.096507,0.166171,0.213879,,0.12,0.12,0.0,2,0.12,39.104453
4,low-grade-bias,0.12,0.0,1.0,0.6,51.0,57.0,0.289522,0.4907,0.615855,0.6,0.12,0.12,0.0,2,0.12,37.313548
4,low-grade-bias,0.12,0.0,1.0,0.2,52.0,16.0,0.078921,0.136015,0.197044,,0.12,0.12,0.0,2,0.12,33.968512
4,low-grade-bias,0.12,0.0,1.0,0.6,52.0,46.666667,0.236763,0.403749,0.579414,0.6,0.12,0.12,0.0,2,0.12,40.826379
4,low-grade-bias,0.12,0.0,1.0,0.2,53.0,18.5,0.091602,0.157704,0.207355,,0.12,0.12,0.0,2,0.12,40.460938
4,low-grade-bias,0.12,0.0,1.0,0.6,53.0,54.0,0.274805,0.46608,0.603314,0.6,0.12,0.12,0.0,2,0.12,36.248079
4,low-grade-bias,0.12,0.0,1.0,0.2,54.0,19.666667,0.098651,0.169237,0.208057,,0.12,0.12,0.0,2,0.12,38.059869
4,low-grade-bias,0.12,0.0,1.0,0.6,54.0,58.0,0.295953,0.50029,0.605421,0.6,0.12,0.12,0.0,2,0.12,45.390017
5,low-grade-bias,0.12,0.0,1.0,0.2,46.0,21.833333,0.108459,0.186559,0.223796,0.2,0.12,0.12,0.0,2,0.12,49.538719
5,low-grade-bias,0.12,0.0,1.0,0.6,46.0,64.0,0.325377,0.540535,0.638575,0.6,0.12,0.12,0.0,2,0.12,35.425696
5,low-grade-bias,0.12,0.0,1.0,0.2,47.0,20.0,0.099436,0.170998,0.216878,0.2,0.12,0.12,0.0,2,0.12,38.61693
5,low-grade-bias,0.12,0.0,1.0,0.6,47.0,58.666667,0.298307,0.502057,0.624853,0.6,0.12,0.12,0.0,2,0.12,38.901979
5,low-grade-bias,0.12,0.0,1.0,0.2,48.0,19.666667,0.098936,0.169594,0.217068,0.2,0.12,0.12,0.0,2,0.12,45.763732
5,low-grade-bias,0.12,0.0,1.0,0.6,48.0,58.333333,0.296809,0.496672,0.625422,0.6,0.12,0.12,0.0,2,0.12,36.849296
5,low-grade-bias,0.12,0.0,1.0,0.2,49.0,19.666667,0.098797,0.16942,0.217804,0.2,0.12,0.12,0.0,2,0.12,35.13444
5,low-grade-bias,0.12,0.0,1.0,0.6,49.0,58.333333,0.296392,0.496932,0.627632,0.6,0.12,0.12,0.0,2,0.12,34.753825
5,low-grade-bias,0.12,0.0,1.0,0.2,50.0,24.833333,0.125045,0.214293,0.223214,0.2,0.12,0.12,0.0,2,0.12,39.016642
5,low-grade-bias,0.12,0.0,1.0,0.6,50.0,73.166667,0.375134,0.61827,0.63683,0.6,0.12,0.12,0.0,2,0.12,43.392012
5,low-grade-bias,0.12,0.0,1.0,0.2,51.0,21.166667,0.105835,0.18172,0.223796,0.2,0.12,0.12,0.0,2,0.12,33.383204
5,low-grade-bias,0.12,0.0,1.0,0.6,51.0,62.333333,0.317503,0.530706,0.638575,0.6,0.12,0.12,0.0,2,0.12,45.596695
5,low-grade-bias,0.12,0.0,1.0,0.2,52.0,17.5,0.086422,0.148894,0.216878,0.2,0.12,0.12,0.0,2,0.12,45.321863
5,low-grade-bias,0.12,0.0,1.0,0.6,52.0,51.166667,0.259267,0.439261,0.624853,0.6,0.12,0.12,0.0,2,0.12,36.926239
5,low-grade-bias,0.12,0.0,1.0,0.2,53.0,20.0,0.100218,0.171975,0.217068,0.2,0.12,0.12,0.0,2,0.12,41.874405
5,low-grade-bias,0.12,0.0,1.0,0.6,53.0,59.166667,0.300655,0.503035,0.625422,0.6,0.12,0.12,0.0,2,0.12,44.17066
5,low-grade-bias,0.12,0.0,1.0,0.2,54.0,21.5,0.107856,0.185024,0.217804,0.2,0.12,0.12,0.0,2,0.12,43.012205
5,low-grade-bias,0.12,0.0,1.0,0.6,54.0,63.666667,0.323567,0.541401,0.627632,0.6,0.12,0.12,0.0,2,0.12,36.217289
6,low-grade-bias,0.12,0.0,1.0,0.2,46.0,22.333333,0.11297,0.19336,0.226754,0.2,0.12,0.12,0.0,2,0.12,41.455043
6,low-grade-bias,0.12,0.0,1.0,0.6,46.0,66.5,0.338908,0.558598,0.647451,0.6,0.12,0.12,0.0,2,0.12,42.58488
6,low-grade-bias,0.12,0.0,1.0,0.2,47.0,20.5,0.103652,0.177433,0.226877,0.2,0.12,0.12,0.0,2,0.12,38.816076
6,low-grade-bias,0.12,0.0,1.0,0.6,47.0,61.0,0.310955,0.52058,0.647819,0.6,0.12,0.12,0.0,2,0.12,38.635278
6,low-grade-bias,0.12,0.0,1.0,0.2,48.0,20.5,0.1027,0.176245,0.222291,0.2,0.12,0.12,0.0,2,0.12,40.114596
6,low-grade-bias,0.12,0.0,1.0,0.6,48.0,60.5,0.308099,0.513498,0.63406,0.6,0.12,0.12,0.0,2,0.12,42.388403
6,low-grade-bias,0.12,0.0,1.0,0.2,49.0,20.5,0.102511,0.176008,0.223041,0.2,0.12,0.12,0.0,2,0.12,36.287632
6,low-grade-bias,0.12,0.0,1.0,0.6,49.0,60.166667,0.307531,0.5124,0.636309,0.6,0.12,0.12,0.0,2,0.12,41.221147
6,low-grade-bias,0.12,0.0,1.0,0.2,50.0,25.833333,0.129997,0.222819,0.226162,0.2,0.12,0.12,0.0,2,0.12,48.044331
6,low-grade-bias,0.12,0.0,1.0,0.6,50.0,76.5,0.38999,0.636815,0.645675,0.6,0.12,0.12,0.0,2,0.12,50.409842
6,low-grade-bias,0.12,0.0,1.0,0.2,51.0,21.833333,0.110175,0.1887,0.226754,0.2,0.12,0.12,0.0,2,0.12,41.635683
6,low-grade-bias,0.12,0.0,1.0,0.6,51.0,64.833333,0.330523,0.548131,0.647451,0.6,0.12,0.12,0.0,2,0.12,43.880237
6,low-grade-bias,0.12,0.0,1.0,0.2,52.0,17.833333,0.089794,0.153885,0.225139,0.2,0.12,0.12,0.0,2,0.12,50.368998
6,low-grade-bias,0.12,0.0,1.0,0.6,52.0,53.0,0.269383,0.454624,0.642606,0.6,0.12,0.12,0.0,2,0.12,49.513956
